Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
25 Triệu/Tháng,64 m²,4 PN,3,---,"Địa chỉ:  38/9 Đường Cư xá Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",12/04/2023,27/04/2023,5465,Quận Phú Nhuận,Đường Cư xá Nguyễn Văn Trỗi,Lượt xem: 71
55 Triệu/Tháng,135 m²,0 PN,0,---,"Địa chỉ:  38 Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",30/06/2023,15/07/2023,9547,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 29
40 Triệu/Tháng,72 m²,7 PN,9,---,"Địa chỉ:  380/3 Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh",09/05/2023,24/05/2023,6261,Quận 3,Đường Nam Kỳ Khởi Nghĩa,Lượt xem: 26
35 Triệu/Tháng,85 m²,0 PN,0,---,"Địa chỉ:  381B Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",19/07/2023,03/08/2023,10715,Quận 10,Đường Cách Mạng Tháng Tám,Lượt xem: 70
32 Triệu/Tháng,64 m²,5 PN,4,---,"Địa chỉ:  382/3A Đường Nguyễn Thị Minh Khai, Phường 6, Quận 3, Hồ Chí Minh",02/02/2023,17/02/2023,2901,Quận 3,Đường Nguyễn Thị Minh Khai,Lượt xem: 40
28 Triệu/Tháng,0 m²,4 PN,3,---,"Địa chỉ:  382/7 Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",15/07/2023,30/07/2023,10227,Quận 3,Đường Nguyễn Thị Minh Khai,Lượt xem: 69
30 Triệu/Tháng,0 m²,4 PN,0,---,"Địa chỉ:  382/ Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",10/07/2023,25/07/2023,9907,Quận 3,Đường Nguyễn Thị Minh Khai,Lượt xem: 59
45 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  382a Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",03/08/2023,18/08/2023,11340,Quận 3,Đường Nguyễn Thị Minh Khai,Lượt xem: 77
40 Triệu/Tháng,90 m²,0 PN,0,---,"Địa chỉ:  382C Đường Nguyễn Tri Phương, Phường 4, Quận 10, Hồ Chí Minh",25/09/2023,10/10/2023,13180,Quận 10,Đường Nguyễn Tri Phương,Lượt xem: 16
40 Triệu/Tháng,108 m²,4 PN,4,---,"Địa chỉ:  384/4B Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh",03/04/2023,18/04/2023,5178,Quận 3,Đường Nam Kỳ Khởi Nghĩa,Lượt xem: 58
50 Triệu/Tháng,126 m²,5 PN,4,---,"Địa chỉ:  Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh",04/09/2023,19/09/2023,11764,Quận 3,Đường Nam Kỳ Khởi Nghĩa,Lượt xem: 78
26 Triệu/Tháng,100 m²,3 PN,4,---,"Địa chỉ:  384A Đường Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh",13/02/2023,28/02/2023,3321,Quận Tân Bình,Đường Hoàng Văn Thụ,Lượt xem: 25
29 Triệu/Tháng,90 m²,6 PN,4,---,"Địa chỉ:  386/11B Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",23/08/2023,07/09/2023,12443,Quận 3,Đường Lê Văn Sỹ,Lượt xem: 32
29 Triệu/Tháng,90 m²,8 PN,5,---,"Địa chỉ:  386/11B Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",13/04/2023,28/04/2023,5535,Quận 3,Đường Lê Văn Sỹ,Lượt xem: 44
50 Triệu/Tháng,108 m²,0 PN,0,---,"Địa chỉ:  489A Đường Nguyễn Tri Phương, Phường 4, Quận 10, Hồ Chí Minh",07/08/2023,22/08/2023,11502,Quận 10,Đường Nguyễn Tri Phương,Lượt xem: 66
40 Triệu/Tháng,72 m²,3 PN,0,---,"Địa chỉ:  388a Đường Nguyễn Tri Phương, Phường 4, Quận 10, Hồ Chí Minh",03/10/2023,18/10/2023,13415,Quận 10,Đường Nguyễn Tri Phương,Lượt xem: 29
70 Triệu/Tháng,120 m²,2 PN,3,---,"Địa chỉ:  38A-38B Đường Nguyễn Văn Trỗi, Phường 3, Phú Nhuận, Hồ Chí Minh",24/05/2023,08/06/2023,6889,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 48
30 Triệu/Tháng,86 m²,5 PN,5,---,"Địa chỉ:  38A Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",19/04/2023,04/05/2023,5189,Quận Tân Bình,Đường Hoàng Hoa Thám,Lượt xem: 57
40 Triệu/Tháng,0 m²,5 PN,5,---,"Địa chỉ:  38A Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",23/02/2023,10/03/2023,1694,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 53
32 Triệu/Tháng,90 m²,5 PN,4,---,"Địa chỉ:  38A Đường Phan Đăng Lưu, Phường 5, Phú Nhuận, Hồ Chí Minh",11/02/2023,26/02/2023,3273,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 52
21 Triệu/Tháng,85 m²,5 PN,4,---,"Địa chỉ:  38A Đường Út Tịch, Phường 4, Tân Bình, Hồ Chí Minh",12/05/2023,27/05/2023,5358,Quận Tân Bình,Đường Út Tịch,Lượt xem: 61
50 Triệu/Tháng,154 m²,4 PN,3,---,"Địa chỉ:  38A1 Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",11/04/2023,26/04/2023,5434,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 55
52 Triệu/Tháng,158 m²,2 PN,5,---,"Địa chỉ:  38K Đường Nguyễn Trọng Tuyển, Phường 15, Phú Nhuận, Hồ Chí Minh",14/04/2023,29/04/2023,5544,Quận Phú Nhuận,Đường Nguyễn Trọng Tuyển,Lượt xem: 51
30 Triệu/Tháng,120 m²,5 PN,4,---,"Địa chỉ:  Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",14/03/2023,29/03/2023,4338,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 39
25 Triệu/Tháng,100 m²,6 PN,4,---,"Địa chỉ:  39/19C Đường Hoàng Hoa Thám, Phường 12, Tân Bình, Hồ Chí Minh",23/02/2023,10/03/2023,1991,Quận Tân Bình,Đường Hoàng Hoa Thám,Lượt xem: 57
35 Triệu/Tháng,96 m²,0 PN,0,---,"Địa chỉ:  39 Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",22/06/2023,07/07/2023,8933,Quận Bình Thạnh,Đường Nguyễn Văn Đậu,Lượt xem: 39
50 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Phạm Ngọc Thạch, Phường 6, Quận 3, Hồ Chí Minh",04/09/2023,19/09/2023,10781,Quận 3,Đường Phạm Ngọc Thạch,Lượt xem: 102
55 Triệu/Tháng,100 m²,2 PN,3,---,"Địa chỉ:  390A Đường Ngô Gia Tự, Phường 4, Quận 10, Hồ Chí Minh",06/03/2023,21/03/2023,3933,Quận 10,Đường Ngô Gia Tự,Lượt xem: 72
65 Triệu/Tháng,300 m²,0 PN,0,---,"Địa chỉ:  398A Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh",14/06/2023,29/06/2023,8324,Quận Bình Thạnh,Đường Lê Quang Định,Lượt xem: 46
25 Triệu/Tháng,108 m²,5 PN,5,---,"Địa chỉ:  Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",14/01/2023,29/01/2023,2665,Quận 3,Đường Nguyễn Đình Chiểu,Lượt xem: 49
30 Triệu/Tháng,64 m²,5 PN,4,---,"Địa chỉ:  399A/1 Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",16/05/2023,31/05/2023,5381,Quận 3,Đường Nguyễn Đình Chiểu,Lượt xem: 62
50 Triệu/Tháng,140 m²,6 PN,5,---,"Địa chỉ:  399A Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",07/02/2023,22/02/2023,3146,Quận 3,Đường Nguyễn Đình Chiểu,Lượt xem: 28
27 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  39a Đường Số 3, Phường 15, Quận 11, Hồ Chí Minh",22/08/2023,06/09/2023,12415,Quận 11,Đường Số 3,Lượt xem: 70
45 Triệu/Tháng,120 m²,7 PN,8,---,"Địa chỉ:  39A Đường Hoàng Việt, Phường 4, Tân Bình, Hồ Chí Minh",09/02/2023,24/02/2023,3201,Quận Tân Bình,Đường Hoàng Việt,Lượt xem: 45
89 Triệu/Tháng,102 m²,7 PN,7,---,"Địa chỉ:  39A Đường Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",18/04/2023,03/05/2023,5681,Quận 3,Đường Kỳ Đồng,Lượt xem: 63
36 Triệu/Tháng,100 m²,5 PN,6,---,"Địa chỉ:  39D Đường Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh",06/02/2023,21/02/2023,3072,Quận Phú Nhuận,Đường Hoa Sứ,Lượt xem: 41
38 Triệu/Tháng,115 m²,5 PN,4,---,"Địa chỉ:  3A Đường Sông Thao, Phường 2, Tân Bình, Hồ Chí Minh",07/10/2023,22/10/2023,13654,Quận Tân Bình,Đường Sông Thao,Lượt xem: 25
32 Triệu/Tháng,0 m²,3 PN,0,---,"Địa chỉ:  Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",12/09/2023,27/09/2023,12955,Quận 10,Đường Thành Thái,Lượt xem: 57
21 Triệu/Tháng,72 m²,4 PN,3,---,"Địa chỉ:  3A Đường Thích Quảng Đức, Phường 3, Phú Nhuận, Hồ Chí Minh",17/04/2023,02/05/2023,5620,Quận Phú Nhuận,Đường Thích Quảng Đức,Lượt xem: 27
29/Tháng,55 m²,4 PN,5,---,"Địa chỉ:  3A Đường Thích Quảng Đức, Phường 3, Phú Nhuận, Hồ Chí Minh",07/09/2023,22/09/2023,12879,Quận Phú Nhuận,Đường Thích Quảng Đức,Lượt xem: 60
15 Triệu/Tháng,60 m²,3 PN,3,---,"Địa chỉ:  3B Đường Phan Đăng Lưu, Phường 3, Bình Thạnh, Hồ Chí Minh",18/02/2023,05/03/2023,3505,Quận Bình Thạnh,Đường Phan Đăng Lưu,Lượt xem: 67
30 Triệu/Tháng,80 m²,5 PN,5,---,"Địa chỉ:  3E Đường Thích Quảng Đức, Phường 3, Phú Nhuận, Hồ Chí Minh",16/02/2023,03/03/2023,3439,Quận Phú Nhuận,Đường Thích Quảng Đức,Lượt xem: 25
11 Triệu/Tháng,38 m²,2 PN,3,---,"Địa chỉ:  Đường Hàn Hải Nguyên, Phường 11, Quận 11, Hồ Chí Minh",15/07/2023,30/07/2023,10256,Quận 11,Đường Hàn Hải Nguyên,Lượt xem: 97
28 Triệu/Tháng,0 m²,5 PN,6,---,"Địa chỉ:  3M Đường Phan Đăng Lưu, Phường 2, Phú Nhuận, Hồ Chí Minh",23/02/2023,10/03/2023,1799,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 51
13 Triệu/Tháng,36 m²,3 PN,2,Đông Nam,"Địa chỉ:  100/ Đường Lê Văn Duyệt, Phường 3, Bình Thạnh, Hồ Chí Minh",16/12/2023,31/12/2023,19269,Quận Bình Thạnh,Đường Lê Văn Duyệt,Lượt xem: 2
30 Triệu/Tháng,144 m²,0 PN,0,---,"Địa chỉ:  4 Đường 6, Phường An Phú, Quận 2, Hồ Chí Minh",25/08/2023,09/09/2023,12546,Quận 2,Đường 6,Lượt xem: 83
36 Triệu/Tháng,170 m²,0 PN,0,---,"Địa chỉ:  4 Đường Hoa Cau, Phường 7, Phú Nhuận, Hồ Chí Minh",18/07/2023,02/08/2023,10565,Quận Phú Nhuận,Đường Hoa Cau,Lượt xem: 57
17 Triệu/Tháng,160 m²,0 PN,0,---,"Địa chỉ:  100/ Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",21/06/2023,06/07/2023,8839,Quận Phú Nhuận,Đường Thích Quảng Đức,Lượt xem: 43
19 Triệu/Tháng,42 m²,0 PN,0,---,"Địa chỉ:  518 Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",11/04/2023,26/04/2023,4843,Quận 1,Đường Võ Văn Kiệt,Lượt xem: 114
30 Triệu/Tháng,108 m²,6 PN,4,---,"Địa chỉ:  68 Đường N, Phường Tân Phong, Quận 7, Hồ Chí Minh",24/04/2023,09/05/2023,5888,Quận 7,Đường N,Lượt xem: 85
21 Triệu/Tháng,72 m²,4 PN,3,---,"Địa chỉ:  Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Hồ Chí Minh",26/07/2023,10/08/2023,11032,Quận 7,Đường Nguyễn Thị Thập,Lượt xem: 69
12 Triệu/Tháng,160 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",07/12/2023,21/12/2023,17989,Quận Bình Thạnh,Đường Nguyễn Thượng Hiền,Lượt xem: 18
20 Triệu/Tháng,60 m²,4 PN,4,---,"Địa chỉ:  213/10A Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Hồ Chí Minh",18/04/2023,03/05/2023,5673,Quận 3,Đường Nguyễn Thiện Thuật,Lượt xem: 36
25 Triệu/Tháng,116 m²,4 PN,4,---,"Địa chỉ:  9A3 Đường Thăng Long, Phường 4, Tân Bình, Hồ Chí Minh",15/05/2023,30/05/2023,6556,Quận Tân Bình,Đường Thăng Long,Lượt xem: 51
26 Triệu/Tháng,48 m²,4 PN,4,---,"Địa chỉ:  1A Bis Đường Lý Văn Phức, Phường Tân Định, Quận 1, Hồ Chí Minh",15/05/2023,30/05/2023,6542,Quận 1,Đường Lý Văn Phức,Lượt xem: 22
22 Triệu/Tháng,113 m²,4 PN,4,---,"Địa chỉ:  250/3 Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh",11/05/2023,26/05/2023,6399,Quận Tân Bình,Đường Bàu Cát,Lượt xem: 53
10 Triệu/Tháng,45 m²,4 PN,3,---,"Địa chỉ:  161E/25 Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",15/07/2023,30/07/2023,10263,Quận 11,Đường Lạc Long Quân,Lượt xem: 55
12 Triệu/Tháng,32 m²,4 PN,4,---,"Địa chỉ:  Đường Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh",15/11/2023,30/11/2023,16233,Quận Gò Vấp,Đường Phạm Văn Chiêu,Lượt xem: 32
12 Triệu/Tháng,32 m²,4 PN,4,---,"Địa chỉ:  Đường Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh",15/11/2023,30/11/2023,16234,Quận Gò Vấp,Đường Phạm Văn Chiêu,Lượt xem: 27
23 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  55/9A Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",15/09/2023,30/09/2023,13011,Quận Phú Nhuận,Đường Lê Văn Sỹ,Lượt xem: 19
30 Triệu/Tháng,80 m²,4 PN,5,---,"Địa chỉ:  Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh",02/11/2023,17/11/2023,15270,Quận 1,Đường Đinh Tiên Hoàng,Lượt xem: 69
12 Triệu/Tháng,42 m²,4 PN,3,---,"Địa chỉ:  Đường Hòa Hưng, Phường 13, Quận 10, Hồ Chí Minh",03/11/2023,18/11/2023,15289,Quận 10,Đường Hòa Hưng,Lượt xem: 34
10 Triệu/Tháng,30 m²,4 PN,3,---,"Địa chỉ:  Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",03/11/2023,18/11/2023,15304,Quận Gò Vấp,Đường Lê Đức Thọ,Lượt xem: 34
20 Triệu/Tháng,80 m²,4 PN,3,---,"Địa chỉ:  Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",24/05/2023,08/06/2023,6826,Quận 3,Đường Lê Văn Sỹ,Lượt xem: 33
12 Triệu/Tháng,48 m²,4 PN,3,---,"Địa chỉ:  Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh",13/11/2023,28/11/2023,16046,Quận Tân Bình,Đường Ni Sư Huỳnh Liên,Lượt xem: 28
16 Triệu/Tháng,68 m²,4 PN,2,---,"Địa chỉ:  Đường Phan Đình Phùng, Phường 2, Phú Nhuận, Hồ Chí Minh",07/11/2023,22/11/2023,15610,Quận Phú Nhuận,Đường Phan Đình Phùng,Lượt xem: 11
22 Triệu/Tháng,94 m²,4 PN,4,---,"Địa chỉ:  158/18a Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",28/08/2023,12/09/2023,12634,Quận Tân Bình,Đường Hoàng Hoa Thám,Lượt xem: 44
12 Triệu/Tháng,24 m²,2 PN,2,---,"Địa chỉ:  Đường Võ Duy Ninh, Phường 22, Bình Thạnh, Hồ Chí Minh",03/11/2023,18/11/2023,15299,Quận Bình Thạnh,Đường Võ Duy Ninh,Lượt xem: 32
15 Triệu/Tháng,72 m²,4 PN,3,---,"Địa chỉ:  Đường Nguyễn Thái Sơn, Phường 5, Gò Vấp, Hồ Chí Minh",03/12/2023,18/12/2023,17560,Quận Gò Vấp,Đường Nguyễn Thái Sơn,Lượt xem: 32
16.5 Triệu/Tháng,45 m²,4 PN,3,---,"Địa chỉ:  Đường 28, Phường 6, Gò Vấp, Hồ Chí Minh",29/10/2023,13/11/2023,15009,Quận Gò Vấp,Đường 28,Lượt xem: 38
25 Triệu/Tháng,77 m²,4 PN,0,---,"Địa chỉ:  120/7f Đường Đặng Thuỳ Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",06/09/2023,21/09/2023,12841,Quận Bình Thạnh,Đường Đặng Thuỳ Trâm,Lượt xem: 51
20 Triệu/Tháng,80 m²,4 PN,4,---,"Địa chỉ:  120/11A Đường Đặng Thuỳ Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",04/10/2023,19/10/2023,13508,Quận Bình Thạnh,Đường Đặng Thuỳ Trâm,Lượt xem: 37
19 Triệu/Tháng,119 m²,4 PN,3,---,"Địa chỉ:  107/23A Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh",29/03/2023,13/04/2023,5051,Quận Tân Bình,Đường Phạm Văn Hai,Lượt xem: 112
20 Triệu/Tháng,77 m²,4 PN,3,---,"Địa chỉ:  170 Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",08/07/2023,23/07/2023,9841,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 58
19 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Văn Trỗi, Phường 15, Phú Nhuận, Hồ Chí Minh",22/07/2023,06/08/2023,10941,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 39
19.5 Triệu/Tháng,105 m²,2 PN,3,---,"Địa chỉ:  Hẻm 93 Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",20/07/2023,04/08/2023,10750,Quận Bình Thạnh,Đường Hoàng Hoa Thám,Lượt xem: 64
25 Triệu/Tháng,0 m²,4 PN,3,---,"Địa chỉ:  141/5C Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh",22/05/2023,06/06/2023,6719,Quận 3,Đường Bàn Cờ,Lượt xem: 58
17 Triệu/Tháng,150 m²,4 PN,3,---,"Địa chỉ:  Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",10/12/2023,24/12/2023,18501,Quận Bình Thạnh,Đường Nguyễn Thượng Hiền,Lượt xem: 14
15 Triệu/Tháng,72 m²,4 PN,4,---,"Địa chỉ:  Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",14/11/2023,29/11/2023,16171,Quận Gò Vấp,Đường Dương Quảng Hàm,Lượt xem: 30
22 Triệu/Tháng,80 m²,4 PN,4,---,"Địa chỉ:  Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",30/11/2023,15/12/2023,17355,Quận Tân Bình,Đường Trường Chinh,Lượt xem: 26
12 Triệu/Tháng,70 m²,4 PN,2,---,"Địa chỉ:  Đường Nguyễn Trọng Tuyển, Phường 8, Phú Nhuận, Hồ Chí Minh",19/11/2023,04/12/2023,16460,Quận Phú Nhuận,Đường Nguyễn Trọng Tuyển,Lượt xem: 5
20 Triệu/Tháng,45 m²,4 PN,4,---,"Địa chỉ:  Đường Lê Quang Định, Phường 7, Bình Thạnh, Hồ Chí Minh",13/11/2023,28/11/2023,16060,Quận Bình Thạnh,Đường Lê Quang Định,Lượt xem: 33
20 Triệu/Tháng,76 m²,4 PN,3,---,"Địa chỉ:  Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",06/11/2023,21/11/2023,15531,Quận Phú Nhuận,Đường Đào Duy Anh,Lượt xem: 56
20 Triệu/Tháng,76 m²,4 PN,3,---,"Địa chỉ:  Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",06/11/2023,21/11/2023,15532,Quận Phú Nhuận,Đường Đào Duy Anh,Lượt xem: 16
30 Triệu/Tháng,56 m²,4 PN,5,---,"Địa chỉ:  Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh",12/11/2023,27/11/2023,15983,Quận 3,Đường Bàn Cờ,Lượt xem: 22
19 Triệu/Tháng,50 m²,4 PN,3,---,"Địa chỉ:  Đường Nguyễn Đình Chiểu, Phường 3, Phú Nhuận, Hồ Chí Minh",10/11/2023,25/11/2023,15755,Quận Phú Nhuận,Đường Nguyễn Đình Chiểu,Lượt xem: 45
10 Triệu/Tháng,60 m²,4 PN,2,---,"Địa chỉ:  Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",03/11/2023,18/11/2023,15278,Quận Gò Vấp,Đường Nguyễn Kiệm,Lượt xem: 125
18 Triệu/Tháng,71 m²,4 PN,5,---,"Địa chỉ:  Đường Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh",13/11/2023,28/11/2023,16023,Quận Gò Vấp,Đường Phạm Văn Chiêu,Lượt xem: 39
24 Triệu/Tháng,0 m²,4 PN,4,---,"Địa chỉ:  Đường 20, Phường 5, Gò Vấp, Hồ Chí Minh",12/10/2023,27/10/2023,13912,Quận Gò Vấp,Đường 20,Lượt xem: 69
17 Triệu/Tháng,67 m²,4 PN,3,---,"Địa chỉ:  304/15 Đường Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh",09/06/2023,24/06/2023,7737,Quận Tân Bình,Đường Trường Chinh,Lượt xem: 50
17 Triệu/Tháng,0 m²,4 PN,3,---,"Địa chỉ:  Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",12/10/2023,27/10/2023,13898,Quận Phú Nhuận,Đường Lê Văn Sỹ,Lượt xem: 60
18 Triệu/Tháng,69 m²,4 PN,3,---,"Địa chỉ:  197/3b Đường Hoàng Văn Thụ, Phường 8, Phú Nhuận, Hồ Chí Minh",31/08/2023,15/09/2023,11817,Quận Phú Nhuận,Đường Hoàng Văn Thụ,Lượt xem: 73
20 Triệu/Tháng,71 m²,2 PN,3,---,"Địa chỉ:  87/12C Đường Nguyễn Công Hoan, Phường 7, Phú Nhuận, Hồ Chí Minh",22/05/2023,06/06/2023,6702,Quận Phú Nhuận,Đường Nguyễn Công Hoan,Lượt xem: 56
13 Triệu/Tháng,24 m²,4 PN,4,---,"Địa chỉ:  Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",12/10/2023,27/10/2023,13947,Quận 3,Đường Trần Quang Diệu,Lượt xem: 7
9 Triệu/Tháng,78 m²,4 PN,2,---,"Địa chỉ:  Đường Trần Thánh Tông, Phường 15, Tân Bình, Hồ Chí Minh",21/10/2023,05/11/2023,14597,Quận Tân Bình,Đường Trần Thánh Tông,Lượt xem: 29
40 Triệu/Tháng,86 m²,5 PN,3,---,"Địa chỉ:  134 Đường Thành Thái, Phường 12, Quận 10, Hồ Chí Minh",14/10/2023,29/10/2023,14125,Quận 10,Đường Thành Thái,Lượt xem: 71
22 Triệu/Tháng,76 m²,0 PN,0,---,"Địa chỉ:  134/4a Đường Hoàng Hoa Thám, Phường 12, Tân Bình, Hồ Chí Minh",10/06/2023,25/06/2023,7775,Quận Tân Bình,Đường Hoàng Hoa Thám,Lượt xem: 31
8.5 Triệu/Tháng,48 m²,4 PN,3,---,"Địa chỉ:  Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh",10/11/2023,25/11/2023,15791,Quận 3,Đường Trần Văn Đang,Lượt xem: 35
30 Triệu/Tháng,93 m²,4 PN,4,---,"Địa chỉ:  Đường Nguyễn Thái Bình, Phường 12, Tân Bình, Hồ Chí Minh",06/11/2023,21/11/2023,15476,Quận Tân Bình,Đường Nguyễn Thái Bình,Lượt xem: 45
19 Triệu/Tháng,70 m²,4 PN,4,---,"Địa chỉ:  30/8A Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh",30/08/2023,14/09/2023,11696,Quận Phú Nhuận,Đường Thích Quảng Đức,Lượt xem: 32
17 Triệu/Tháng,69 m²,4 PN,3,---,"Địa chỉ:  293/17a Đường Phan Xích Long, Phường 2, Phú Nhuận, Hồ Chí Minh",14/07/2023,29/07/2023,10114,Quận Phú Nhuận,Đường Phan Xích Long,Lượt xem: 30
20 Triệu/Tháng,64 m²,4 PN,3,---,"Địa chỉ:  156/9A Đường Đặng Văn Ngữ, Phường 14, Phú Nhuận, Hồ Chí Minh",12/05/2023,27/05/2023,6424,Quận Phú Nhuận,Đường Đặng Văn Ngữ,Lượt xem: 85
12 Triệu/Tháng,80 m²,4 PN,0,---,"Địa chỉ:  , Đường Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh",04/12/2023,18/12/2023,17659,Quận Gò Vấp,Đường Nguyễn Văn Lượng,Lượt xem: 42
22 Triệu/Tháng,72 m²,4 PN,3,---,"Địa chỉ:  Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",26/11/2023,11/12/2023,17030,Quận 10,Đường Thành Thái,Lượt xem: 47
23 Triệu/Tháng,72 m²,2 PN,3,---,"Địa chỉ:  170E/4A Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",31/08/2023,15/09/2023,11262,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 47
26 Triệu/Tháng,94 m²,4 PN,3,---,"Địa chỉ:  Đường Thích Minh Nguyệt, Phường 2, Tân Bình, Hồ Chí Minh",29/10/2023,13/11/2023,14994,Quận Tân Bình,Đường Thích Minh Nguyệt,Lượt xem: 65
80 Triệu/Tháng,60 m²,4 PN,0,---,"Địa chỉ:  Đường Cô Bắc, Phường Cô Giang, Quận 1, Hồ Chí Minh",26/10/2023,10/11/2023,14881,Quận 1,Đường Cô Bắc,Lượt xem: 30
